Sample	d_pre_nokat_clock	group
CURTIS_H004428_T01_01_WG01	0.501698722597868	HER2+
CURTIS_H004429_T01_01_WG01	0.220221068331067	ER+ High
CURTIS_H004430_T01_01_WG01	0.210774808194925	ER+ Typical
CURTIS_H004431_T01_01_WG01	0.61616714362891	IC10
CURTIS_H004435_T01_01_WG01	0.453387564636851	ER+ Typical
CURTIS_H004436_T01_01_WG01	0.262444792189039	ER+ Typical
CURTIS_H004439_T01_01_WG01	0.0769938769296958	ER+ High
CURTIS_H004450_T01_01_WG01	1.48989854908687	ER+ Typical
CURTIS_H004450_T01_01_WG01	0.430060818025179	ER+ Typical
CURTIS_H004454_T01_01_WG01	0.574900460017253	HER2+
CURTIS_H004456_T01_01_WG01	0.751933112460969	IC10
CURTIS_H004461_T01_01_WG01	0.185641293405919	ER+ Typical
CURTIS_H004461_T01_01_WG01	0.196723575919449	ER+ Typical
CURTIS_H004466_T01_01_WG01	0.109323377172703	ER+ High
CURTIS_H004474_T01_01_WG01	0.387733138845647	ER+ Typical
CURTIS_H004477_T01_01_WG01	0.249658349219355	ER+ High
CURTIS_H004478_T01_01_WG01	0.34389479114523	ER+ High
CURTIS_H004480_T01_01_WG01	0.20108832181455	ER+ High
CURTIS_H004486_T01_01_WG01	0.540211905754065	ER+ Typical
CURTIS_H004486_T01_01_WG01	0	ER+ Typical
CURTIS_H004490_T01_01_WG01	0.489486973072644	HER2+
CURTIS_H004491_T01_01_WG01	0.151857119838452	ER+ High
CURTIS_H004494_T01_01_WG01	0.511563488798375	HER2+
CURTIS_H004498_T01_01_WG01	0.365774616706072	ER+ Typical
CURTIS_H004503_T01_01_WG01	3.13127564744318	ER+ Typical
CURTIS_H004513_T01_01_WG01	0.250776814684204	ER+ High
CURTIS_H004515_T01_01_WG01	0.565968474067867	ER+ High
CURTIS_H004515_T01_01_WG01	0.643871327967411	ER+ High
CURTIS_H004515_T01_01_WG01	0.178553406641496	ER+ High
CURTIS_H004517_T01_01_WG01	0.176108099459128	ER+ Typical
CURTIS_H004523_T01_01_WG01	0.804715954925095	ER+ High
CURTIS_H004523_T01_01_WG01	0.0628508914895191	ER+ High
CURTIS_H004525_T01_01_WG01	0.194499725918707	ER+ High
CURTIS_H004526_T01_01_WG01	0	ER+ Typical
CURTIS_H004532_T01_01_WG01	0.0608058746932365	ER+ Typical
CURTIS_H004533_T01_01_WG01	0.0627742005682977	ER+ Typical
CURTIS_H004533_T01_01_WG01	0.280978662832651	ER+ Typical
CURTIS_H004537_T01_01_WG01	0.948129101341034	IC10
CURTIS_H004538_T01_01_WG01	0.158271159715413	ER+ Typical
CURTIS_H004543_T01_01_WG01	0.18840154092326	ER+ High
CURTIS_H004543_T01_01_WG01	0.164573517653663	ER+ High
CURTIS_H004548_T01_01_WG01	0.29044982141216	ER+ High
CURTIS_H004550_T01_01_WG01	0.673129021481472	ER+ High
CURTIS_H004551_T01_01_WG01	0.190235826713895	ER+ High
CURTIS_H004552_T01_01_WG01	0.156062404078461	ER+ Typical
CURTIS_H004554_T01_01_WG01	0.110533716974396	ER+ High
CURTIS_H004557_T01_01_WG01	0.355667180951154	ER+ High
CURTIS_H004562_T01_01_WG01	0.302473913356694	ER+ High
CURTIS_H004563_T01_01_WG01	0.382563434221658	ER+ Typical
CURTIS_H004564_T01_01_WG01	0.303841377012564	IC10
CURTIS_H004564_T01_01_WG01	0.684797674834914	IC10
CURTIS_H004565_T01_01_WG01	0.674895204834518	IC10
CURTIS_H004566_T01_01_WG01	0	ER+ High
CURTIS_H004569_T01_01_WG01	0.589794964887583	ER+ High
CURTIS_H004575_T01_01_WG01	0.265288999963751	ER+ High
CURTIS_H004580_T01_01_WG01	0.190587552630958	ER+ Typical
CURTIS_H004586_T01_01_WG01	0.270803346895581	ER+ Typical
CURTIS_H004588_T01_01_WG01	0.527255123436117	IC10
CURTIS_H004588_T01_01_WG01	0	IC10
CURTIS_H004589_T01_01_WG01	6.08536482243613	IC10
CURTIS_H004592_T01_01_WG01	0.301166213801916	ER+ Typical
